"2-3-5 system"-noun-eng "sistema 2-3-5"-noun-cat
"adjectivalisation"-noun-eng "adjectivació"-noun-cat
"adjective"-noun-eng "adjectiu"-noun-cat
"adjudication"-noun-eng "adjudicació"-noun-cat
"adjudicator"-noun-eng "adjudicatari"-noun-cat
"adjustment"-noun-eng "ajustament"-noun-cat
"adjustment"-noun-eng "ajustatge"-noun-cat
"adjustment"-noun-eng "graduació"-noun-cat
"adjustment"-noun-eng "reglatge"-noun-cat
"administration"-noun-eng "administració"-noun-cat
"administrator"-noun-eng "administrador"-noun-cat
"admiral"-noun-eng "almirall"-noun-cat
"admiralty"-noun-eng "almirallat"-noun-cat
"admiration"-noun-eng "admiració"-noun-cat
"admirer"-noun-eng "admirador"-noun-cat
"admissibility"-noun-eng "admissibilitat"-noun-cat
"admission"-noun-eng "admissió"-noun-cat
"admixture"-noun-eng "barreja"-noun-cat
"adolescence"-noun-eng "adolescència"-noun-cat
"adolescent"-noun-eng "adolescent"-noun-cat
"adoptee"-noun-eng "adoptat"-noun-cat
"adopter"-noun-eng "adoptant"-noun-cat
"adoption"-noun-eng "adopció"-noun-cat
"adoration"-noun-eng "adoració"-noun-cat
"adornment"-noun-eng "adorn"-noun-cat
"ADP"-noun-eng "ADP"-noun-cat
"adrenaline"-noun-eng "adrenalina"-noun-cat
"adrenalin"-noun-eng "adrenalina"-noun-cat
"adret"-noun-eng "solana"-noun-cat
"adret"-noun-eng "solell"-noun-cat
"ad"-noun-eng "anunci"-noun-cat
"adsorbate"-noun-eng "adsorbat"-noun-cat
"adsorbent"-noun-eng "adsorbent"-noun-cat
"adsorption"-noun-eng "adsorció"-noun-cat
"adularescence"-noun-eng "adularescència"-noun-cat
"adulation"-noun-eng "adulació"-noun-cat
"adulteration"-noun-eng "adulteració"-noun-cat
"adulterer"-noun-eng "adúlter"-noun-cat
"adultery"-noun-eng "adulteri"-noun-cat
"adulthood"-noun-eng "adultesa"-noun-cat
"adult"-noun-eng "adult"-noun-cat
"advancement"-noun-eng "avançament"-noun-cat
"advancement"-noun-eng "avenç"-noun-cat
"advance"-noun-eng "avançada"-noun-cat
"advance"-noun-eng "avançament"-noun-cat
"advance"-noun-eng "avanç"-noun-cat
"advance"-noun-eng "avenç"-noun-cat
"advantage"-noun-eng "avantatge"-noun-cat
"advection"-noun-eng "advecció"-noun-cat
"advent"-noun-eng "adveniment"-noun-cat
"advent"-noun-eng "advent"-noun-cat
"advent"-noun-eng "arribada"-noun-cat
"adventurer"-noun-eng "aventurer"-noun-cat
"adventure"-noun-eng "aventura"-noun-cat
"adverbialisation"-noun-eng "adverbialització"-noun-cat
"adverb"-noun-eng "adverbi"-noun-cat
"adversary"-noun-eng "adversari"-noun-cat
"adverse balance"-noun-eng "saldo negatiu"-noun-cat
"adversity"-noun-eng "adversitat"-noun-cat
"advertisement"-noun-eng "anunci"-noun-cat
"advertising"-noun-eng "publicitat"-noun-cat
"advert"-noun-eng "anunci"-noun-cat
"advert"-noun-eng "publicitat"-noun-cat
"advice"-noun-eng "assessorament"-noun-cat
"advice"-noun-eng "consell"-noun-cat
"advisability"-noun-eng "conveniència"-noun-cat
"adviser"-noun-eng "assessor"-noun-cat
"adviser"-noun-eng "conseller"-noun-cat
"advisor"-noun-eng "assessor"-noun-cat
"advocacy"-noun-eng "advocacia"-noun-cat
"adze"-noun-eng "aixol"-noun-cat
"aegis"-noun-eng "tutela"-noun-cat
"aeration"-noun-eng "ventilació"-noun-cat
"aerator"-noun-eng "airejador"-noun-cat
"aerenchyma"-noun-eng "aerènquima"-noun-cat
"aerobics"-noun-eng "aeròbic"-noun-cat
"aerobiosis"-noun-eng "aerobiosi"-noun-cat
"aerodrome"-noun-eng "aeròdrom"-noun-cat
"aerodynamics"-noun-eng "aerodinàmica"-noun-cat
"aerodynamics"-noun-eng "aerodinàmica"-noun-cat
"aeroelasticity"-noun-eng "aeroelasticitat"-noun-cat
"aerogenerator"-noun-eng "aerogenerador"-noun-cat
"aerograph"-noun-eng "aerògraf"-noun-cat
"aerology"-noun-eng "aerologia"-noun-cat
"aerometer"-noun-eng "aeròmetre"-noun-cat
"aerometry"-noun-eng "aerometria"-noun-cat
"aeronautics"-noun-eng "aeronàutica"-noun-cat
"aeronomy"-noun-eng "aeronomia"-noun-cat
"aerophagy"-noun-eng "aerofagia"-noun-cat
"aeroplane"-noun-eng "avió"-noun-cat
"aeroscope"-noun-eng "aeroscopi"-noun-cat
"aerosol"-noun-eng "aerosol"-noun-cat
"aesthete"-noun-eng "esteta"-noun-cat
"aestheticism"-noun-eng "esteticisme"-noun-cat
"aesthetics"-noun-eng "estètica"-noun-cat
"aether"-noun-eng "èter"-noun-cat
"affability"-noun-eng "afabilitat"-noun-cat
"affair"-noun-eng "afer"-noun-cat
"affair"-noun-eng "assumpte"-noun-cat
"affectation"-noun-eng "afectació"-noun-cat
"affection"-noun-eng "afecte"-noun-cat
"affectivity"-noun-eng "afectivitat"-noun-cat
"affidavit"-noun-eng "afidàvit"-noun-cat
"affiliation"-noun-eng "afiliació"-noun-cat
"affinity"-noun-eng "afinitat"-noun-cat
"affirmation"-noun-eng "afirmació"-noun-cat
"affixation"-noun-eng "afixació"-noun-cat
"affix"-noun-eng "afix"-noun-cat
"affliction"-noun-eng "aflicció"-noun-cat
"afforestation"-noun-eng "aforestació"-noun-cat
"affrication"-noun-eng "africació"-noun-cat
"affront"-noun-eng "afront"-noun-cat
"AFP"-noun-eng "AFP"-noun-cat
"africanism"-noun-eng "africanisme"-noun-cat
"Afrikaans"-noun-eng "afrikaans"-noun-cat
"afterbirth"-noun-eng "secundina"-noun-cat
"afterlife"-noun-eng "més enllà"-noun-cat
"aftermath"-noun-eng "conseqüència"-noun-cat
"afternoon"-noun-eng "tarda"-noun-cat
"afternoon"-noun-eng "vesprada"-noun-cat
"afters"-noun-eng "postres"-noun-cat
"aftertaste"-noun-eng "regust"-noun-cat
"Aga Khan"-noun-eng "Aga Khan"-noun-cat
"agalmatolite"-noun-eng "agalmatolita"-noun-cat
"agarose"-noun-eng "agarosa"-noun-cat
"agate"-noun-eng "àgata"-noun-cat
"agave"-noun-eng "agave"-noun-cat
"agave"-noun-eng "atzavara"-noun-cat
"agency"-noun-eng "agència"-noun-cat
"agenda"-noun-eng "ordre del dia"-noun-cat
"agent"-noun-eng "agent"-noun-cat
"agent"-noun-eng "gestor"-noun-cat
"age"-noun-eng "edat"-noun-cat
"agglomeration"-noun-eng "aglomeració"-noun-cat
"agglutination"-noun-eng "aglutinació"-noun-cat
"aggravation"-noun-eng "agreujament"-noun-cat
"aggregate"-noun-eng "àrid"-noun-cat
"aggregate"-noun-eng "conjunt"-noun-cat
"aggregation"-noun-eng "agregació"-noun-cat
"aggression"-noun-eng "agressió"-noun-cat
"aggressiveness"-noun-eng "agressivitat"-noun-cat
"aggressor"-noun-eng "agressor"-noun-cat
"agility"-noun-eng "agilitat"-noun-cat
"aging"-noun-eng "envelliment"-noun-cat
"agiotage"-noun-eng "agiotatge"-noun-cat
"agitation"-noun-eng "agitació"-noun-cat
"agnail"-noun-eng "repeló"-noun-cat
"agnation"-noun-eng "agnació"-noun-cat
"agnosia"-noun-eng "agnòsia"-noun-cat
"agnosticism"-noun-eng "agnosticisme"-noun-cat
"agnostic"-noun-eng "agnòstic"-noun-cat
"agonist"-noun-eng "agonista"-noun-cat
"agony"-noun-eng "agonia"-noun-cat
"agoraphobia"-noun-eng "agorafòbia"-noun-cat
"agora"-noun-eng "àgora"-noun-cat
"agraphia"-noun-eng "agrafia"-noun-cat
"agreement"-noun-eng "acord"-noun-cat
"agreement"-noun-eng "contracte"-noun-cat
"agreement"-noun-eng "conveni"-noun-cat
"agriculturalist"-noun-eng "agricultor"-noun-cat
"agriculture"-noun-eng "agricultura"-noun-cat
"agrobiology"-noun-eng "agrobiologia"-noun-cat
"agroecology"-noun-eng "agroecologia"-noun-cat
"agrogeology"-noun-eng "agrogeologia"-noun-cat
"agrology"-noun-eng "agrologia"-noun-cat
"agrometeorology"-noun-eng "agrometeorologia"-noun-cat
"agronomist"-noun-eng "agrònom"-noun-cat
"agronomy"-noun-eng "agronomia"-noun-cat
"agrotourism"-noun-eng "agroturisme"-noun-cat
"agrotourism"-noun-eng "agroturisme"-noun-cat
"A/H1N1"-noun-eng "A/H1N1"-noun-cat
"A/H5N1"-noun-eng "A/H5N1"-noun-cat
"aide"-noun-eng "assessor"-noun-cat
"aid"-noun-eng "ajuda"-noun-cat
"aid"-noun-eng "ajut"-noun-cat
"aid"-noun-eng "socors"-noun-cat
"aikido"-noun-eng "aikido"-noun-cat
"aileron"-noun-eng "aleró"-noun-cat
"ailment"-noun-eng "dolència"-noun-cat
"ailment"-noun-eng "malaltia"-noun-cat
"aim"-noun-eng "objectiu"-noun-cat
"Ainu"-noun-eng "ainu"-noun-cat
"airbase"-noun-eng "base aèria"-noun-cat
"airbus"-noun-eng "aerobús"-noun-cat
"aircraft carrier"-noun-eng "portaavions"-noun-cat
"aircraft"-noun-eng "aeronau"-noun-cat
"airfield"-noun-eng "aeròdrom"-noun-cat
"airflow"-noun-eng "corrent d'aire"-noun-cat
"airfoil"-noun-eng "aleró"-noun-cat
"airframe"-noun-eng "carcassa"-noun-cat
"airlift"-noun-eng "transport aeri"-noun-cat
"airliner"-noun-eng "avió"-noun-cat
"airline"-noun-eng "aerolínia"-noun-cat
"airline"-noun-eng "línia aèria"-noun-cat
"airman"-noun-eng "aviador"-noun-cat
"airman"-noun-eng "pilot"-noun-cat
"airplane"-noun-eng "avió"-noun-cat
"airplay"-noun-eng "cobertura radiofònica"-noun-cat
"airport"-noun-eng "aeroport"-noun-cat
"airship"-noun-eng "dirigible"-noun-cat
"air"-noun-eng "aire"-noun-cat
"airspace"-noun-eng "espai aeri"-noun-cat
"airspeed"-noun-eng "velocitat aerodinàmica"-noun-cat
"airway"-noun-eng "aerolínia"-noun-cat
"airwoman"-noun-eng "aviador"-noun-cat
"aisle"-noun-eng "passadís"-noun-cat
"Akkadian"-noun-eng "accadi"-noun-cat
"alabaster"-noun-eng "alabastre"-noun-cat
"alarmism"-noun-eng "alarmisme"-noun-cat
"alarmist"-noun-eng "alarmista"-noun-cat
"alarm"-noun-eng "alarma"-noun-cat
"alarm"-noun-eng "alerta"-noun-cat
"Albanian"-noun-eng "albanès"-noun-cat
"albatross"-noun-eng "albatros"-noun-cat
"albedometer"-noun-eng "albedòmetre"-noun-cat
"albedo"-noun-eng "albedo"-noun-cat
"albino"-noun-eng "albí"-noun-cat
"albite"-noun-eng "albita"-noun-cat
"albumin"-noun-eng "albúmina"-noun-cat
"album"-noun-eng "àlbum"-noun-cat
"alchemist"-noun-eng "alquimista"-noun-cat
"alchemy"-noun-eng "alquímia"-noun-cat
"alcohol content"-noun-eng "contingut d'alcohol"-noun-cat
"alcohol content"-noun-eng "graduació"-noun-cat
"alcoholic"-noun-eng "alcohòlic"-noun-cat
"alcoholimeter"-noun-eng "alcoholímetre"-noun-cat
"alcoholisation"-noun-eng "alcoholització"-noun-cat
"alcoholism"-noun-eng "alcoholisme"-noun-cat
"alcoholometry"-noun-eng "alcoholimetria"-noun-cat
"alcohol"-noun-eng "alcohol"-noun-cat
"alcove"-noun-eng "alcova"-noun-cat
"aldehyde"-noun-eng "aldehid"-noun-cat
"alderman"-noun-eng "regidor"-noun-cat
"alderwoman"-noun-eng "regidor"-noun-cat
"aldose"-noun-eng "aldosa"-noun-cat
"alert"-noun-eng "alerta"-noun-cat
"aleurone"-noun-eng "aleurona"-noun-cat
"alexandrite"-noun-eng "alexandrita"-noun-cat
"alexia"-noun-eng "alèxia"-noun-cat
"alfalfa"-noun-eng "alfals"-noun-cat
"algaculture"-noun-eng "algicultura"-noun-cat
"alga"-noun-eng "alga"-noun-cat
"algebraist"-noun-eng "algebrista"-noun-cat
"algebra"-noun-eng "àlgebra"-noun-cat
"algia"-noun-eng "àlgia"-noun-cat
"algorithm"-noun-eng "algorisme"-noun-cat
"algorithm"-noun-eng "algoritme"-noun-cat
"alias"-noun-eng "àlies"-noun-cat
"alienation"-noun-eng "alienació"-noun-cat
"alienism"-noun-eng "estrangeria"-noun-cat
"alien"-noun-eng "alienígena"-noun-cat
"alien"-noun-eng "estranger"-noun-cat
"alien"-noun-eng "extraterrestre"-noun-cat
"aligner"-noun-eng "alineador"-noun-cat
"alignment"-noun-eng "alineació"-noun-cat
"alignment"-noun-eng "alineament"-noun-cat
"aliquot"-noun-eng "alíquota"-noun-cat
"alkalimetry"-noun-eng "alcalimetria"-noun-cat
"alkali"-noun-eng "àlcali"-noun-cat
"alkaloid"-noun-eng "alcaloide"-noun-cat
"alkalosis"-noun-eng "alcalosi"-noun-cat
"alkane"-noun-eng "alcà"-noun-cat
"alkyl"-noun-eng "alquil"-noun-cat
"allanite"-noun-eng "al·lanita"-noun-cat
"allegation"-noun-eng "al·legació"-noun-cat
"allegiance"-noun-eng "lleialtat"-noun-cat
"allegory"-noun-eng "al·legoria"-noun-cat
"allele"-noun-eng "al·lel"-noun-cat
"allelotype"-noun-eng "al·lelotip"-noun-cat
"Allen key"-noun-eng "clau Allen"-noun-cat
"Allen wrench"-noun-eng "clau Allen"-noun-cat
"allergen"-noun-eng "al·lergogen"-noun-cat
"allergologist"-noun-eng "al·lergòleg"-noun-cat
"allergy"-noun-eng "al·lèrgia"-noun-cat
"alleviation"-noun-eng "atenuant"-noun-cat
"alley"-noun-eng "carreró"-noun-cat
"alliance"-noun-eng "aliança"-noun-cat
"alligator"-noun-eng "caiman"-noun-cat
"alliteration"-noun-eng "al·literació"-noun-cat
"allitisation"-noun-eng "al·litització"-noun-cat
"allitisation"-noun-eng "al·litització"-noun-cat
"alloantibody"-noun-eng "al·loanticòs"-noun-cat
"alloantigen"-noun-eng "al·loantigen"-noun-cat
"allocation"-noun-eng "assignació"-noun-cat
"allocution"-noun-eng "al·locució"-noun-cat
"allograft"-noun-eng "al·loempelt"-noun-cat
"allokinesis"-noun-eng "al·locinèsia"-noun-cat
"allomorphism"-noun-eng "al·lomorfisme"-noun-cat
"allophone"-noun-eng "al·lòfon"-noun-cat
"allophony"-noun-eng "al·lofonia"-noun-cat
"allosterism"-noun-eng "al·losterisme"-noun-cat
"allotype"-noun-eng "al·lotip"-noun-cat
"allotypy"-noun-eng "al·lotípia"-noun-cat
"allowance"-noun-eng "pensió"-noun-cat
"alloy"-noun-eng "aliatge"-noun-cat
"allusion"-noun-eng "al·lusió"-noun-cat
"alluviation"-noun-eng "al·luvionament"-noun-cat
"alluvium"-noun-eng "al·luvió"-noun-cat
"ally"-noun-eng "aliat"-noun-cat
"almanac"-noun-eng "almanac"-noun-cat
"almandine"-noun-eng "almandina"-noun-cat
"almond tree"-noun-eng "ametler"-noun-cat
"almond tree"-noun-eng "ametller"-noun-cat
"almond"-noun-eng "ametla"-noun-cat
"almond"-noun-eng "ametlla"-noun-cat
"alms"-noun-eng "almoina"-noun-cat
"alms"-noun-eng "almoina"-noun-cat
"alopecia"-noun-eng "alopècia"-noun-cat
"alpaca"-noun-eng "alpaca"-noun-cat
"alphabet"-noun-eng "abecedari"-noun-cat
"alphabet"-noun-eng "alfabet"-noun-cat
"alpha"-noun-eng "alfa"-noun-cat
"altarpiece"-noun-eng "retaule"-noun-cat
"altar"-noun-eng "altar"-noun-cat
"altazimuth"-noun-eng "altazimut"-noun-cat
"alteration"-noun-eng "alteració"-noun-cat
"altercation"-noun-eng "altercació"-noun-cat
"altercation"-noun-eng "altercat"-noun-cat
"alternation"-noun-eng "alternança"-noun-cat
"alternative medicine"-noun-eng "medicina natural"-noun-cat
"alternative"-noun-eng "alternativa"-noun-cat
"alternator"-noun-eng "alternador"-noun-cat
"altimetry"-noun-eng "altimetria"-noun-cat
"altitude"-noun-eng "altitud"-noun-cat
"altocumulus"-noun-eng "altocúmul"-noun-cat
